PHRASE,MEANING
clarion call,a clarion is a high-pitch bugle.
all the way up,"literally refers to ascending a mountain or cliff, or navigating a river to a specific terminal point."
off grid,disconnected from municipal utility systems.
cover one's tracks,"to keep one's location, activities, and intentions hidden."
child's play,an informal expression meaning something that is easy to do.
class act,"high-quality performance or display; additionally, the performer."
cakewalk,something that can be easily accomplished.
the other side of the coin,"the opposite aspect, contrasting arguments."
cross swords,to fight with another person physically or verbally.
between the devil and the deep blue sea,between two equally difficult or unacceptable choices.
lights are on but nobody is home,used to describe a stupid person.
easy money,"rewards, progress or other good results with little or no effort."
hit the hay,to go to sleep or head to bed.
hit the sack,to go to bed.
on the blink,to be malfunctioning or not operating correctly.
busy as a beaver,work very hard and actively.
red zone,"any geographical area that is thought to be dangerous or threatening, usually as a consequence of political or military activity."
hand in hand,close ties or connections.
upside down,literally refers to an object that has been reoriented so that the portion which would otherwise be considered the top is now at the bottom
make common cause,"to enter into an agreement or shared effort, especially for expedient purposes and with a party (or parties) otherwise deemed to be enemies."
roots run deep,"similar in meaning to ""deep-rooted.""."
light of one's life,someone who makes one very happy.
chip off the old block,the term is used to describe people who look like their parents.
wild card,an opportunity to participate in a sporting event without having to compete in qualifying matches or be ranked at a certain level.
pay as you go,a payment system that allows you to pay right before a service you use rather than later.
by dint of,as a result of something.
do one's bit,to do a share of a task.
blast from the past,a way to refer to something or someone reminding you of an earlier time.
birds of a feather,"people with similar tastes, interests, and backgrounds."
rock the boat,to make trouble.
spare someone's blushes,to stop someone from feeling awkward or embarrassed.
blue eyed boy,a person who is treated with special favor.
"blood, sweat, and tears",putting a lot of effort to get a task done.
bad blood,to have ill feelings towards someone.
blind date,to go on a date with someone you have never met before.
body and soul,with all one's effort and ability.
take a leaf out of someone's book,implement actionable advice.
bring someone to book,make somebody accountable for their conduct.
living on borrowed time,not expected to live much longer.
break new ground,to do something innovative.
hit the panic button,prepare for disaster.
wide berth,"avoid (a person, place, or circumstance)."
bury head in the sand,hide from the truth.
rain check,declining an offer that might be taken up later.
buy time,"to do something in order to postpone an event, a result, etc."
between you and me,a secret to be kept between two people.
as bold as brass,"daring, brave, bold or overconfident."
behind bars,to be in jail or prison.
bosom friend,best friend who is very close to you.
beau monde,a fashionable society.
rob Peter to pay Paul,to cause harm to one person in order to do good for another.
burn the candle at both ends,to exhaust someone's energies or resources by leading a hectic life.
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.
fiddle while Rome burns,to perform an inconsequential task or act irresponsibly in the midst of a disastrous event.
yoke around one's neck,a fatiguing burden.
get out of dodge,to leave.
show the door,make it clear that somebody must leave.
tasted blood,"to experience something thrilling and exciting, and want to experience it again."
by and by,soon; after a while.
break the news,to make something known to everybody.
a wet blanket,a person who spoils other people's fun.
get one's feet wet,to begin taking part in a new activity.
go bananas,become very angry or act crazy.
it's not brain surgery,to indicate that a specific task is simple and easy to undertake .
come to blows,to start fighting.
the brains behind,"used to refer to the person who originally invented a particular scheme, plan or idea."
at the helm,"in charge of an organization, group of people, etc."
pros and cons,good points and bad points.
happy wife happy life,"to have a good life, you need to have a good wife."
blind spot,"if you have a blind spot about something, you cannot accept or understand it."
how come,why or how.
a tall order,a challenging task or difficult requirement.
silver spoon,having a rich or privileged background.
close shave,a narrow escape.
backhanded compliment,give ironical praise to someone.
lightning fast,extremely quick.
word of mouth,oral communication.
shoot the breeze,"spend time chatting, useless talking or chit-chat."
big gun,a very powerful individual.
fake it till you make it,portray yourself like the person you always wanted to become.
wane,a period of decline or reduction.
nightmare dressed like a daydream,describes something that seems very pleasant or attractive at first but eventually reveals itself as horrible.
blind impulse,sudden and unaccountable desire to do something.
ride (on) a wave,to enjoy the advantages of something.
no spring chicken,someone who's no longer young.
rain or shine,doing something regularly regardless of the circumstances.
on top of the world,in a good mood as everything is going well for you.
brownie points,"praise or appreciation, usually for a service someone has done."
on the cards,"something very likely to happen, occur or take place."
at cross purposes,with aims or goals that conflict or interfere with one another.
stand a chance,"to have a possibility of succeeding, even if a remote one."
buckle down,make sure something stays in place.
take the cake,being the best in a competition.
run across,meet someone by accident.
in mint condition,something used that looks new.
where the rubber meets the road,when you have to face your challenges.
happy go lucky,cheerful.
rip off,the act of stealing.
second wind,another burst of energy when you had been too tired to finish.
on board,"be physically on a plane, ship, vehicle, train, or rocket."
dog's life,a miserable and unpleasant life.
bull's eye,the center of a target.
put cards on the table,be open and honest.
keep card close to chest,"be secretive or cautious, give nothing away."
back to the wall,to be in a difficult situation.
fight like cat and dog,argue jealously and violently all the time.
leaps and bounds,progress very quickly.
sweep under the rug,try to hide a problem or keep a problem secret instead of dealing with it.
play cat and mouse,to play with or tease someone.
big mouth,someone who talks too much.
by hook or by crook,by any possible means.
call the shots,to be in charge of what is happening and what should happen.
green thumb,good gardening results.
hit the roof,experience sudden anger.
lone it,to do an activity alone.
burst the bubble,the sudden end of a very happy or successful period.
close call,a narrow escape from disaster.
cat among the pigeons,do or say something that causes trouble and make a lot of people angry or worried.
go out on a limb,do or say something that is different from most other people.
bury the hatchet,to stop fighting or arguing or to end old resentments.
all hell will let loose,"a situation suddenly becomes noisy and violent, usually with a lot of people arguing or fighting."
in cold blood,in a cruel way and without pity or other emotion.
know on which side bread is buttered,know what is to one's advantage.
recharge one's batteries,take a break or holiday to relax and regain one's vim and vigour.
pass the buck,passing blame to another person.
make all the difference,influence someone or something in a positive way.
under the auspices,"under the protection, sponsorship, or patronage."
look on the bright side,always try to see the good things even in bad situations.
big brother,a large organization or government agency that tries to control all aspects of human life and society.
in broad daylight,during the daytime.
the buck stops here,the responsibility for a situation or a problem with somebody.
cut the cord,to end a connection with someone.
"sponger, sponging, sponge off",someone who scrounges from others.
call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive."
hit the road,depart.
zero hour,a time when a crucial decision or essential action must be taken.
dab hand,an expert or skilled person.
bright spark,an intelligent and lively person (humorously).
bare bones,most basic and important elements or facts.
put your foot in it,"say something (by mistake) that upsets, humiliates, or embarrasses someone."
waiting time,a period of time from when action is requested to when it happens.
tempest in a teapot,when a minor issue causes an exaggerated reaction of anger or trouble.
storm in a teacup,an excessive enthusiasm or rage about a minor matter.
jump on the bandwagon,to start doing something because it is fashionable or profitable.
zonk out,to fall asleep very promptly.
too close for comfort,to be very close to something dangerous or unwelcoming.
jump to conclusions,to predict a situation without having sufficient information.
in at the deep end,to start a new job or activity without being prepared for it.
no picnic,used to express that an activity or action is not fun.
so far so good,progress has been satisfactory up to now.
feel blue,to feel sad or depressed.
out of hand,out of control.
alma mater,"the school, college, or university that one attended or in which one has studied."
brain drain,the migration of highly skilled or trained people from a particular country.
in the bad books,out of favour.
black book,a book containing a list of secret contacts.
take a cue from,to do what is recommended by someone else.
fly off the handle,to lose one's temper and get angry for seemingly no reason (does not usually refer to situations that would warrant an emotional response).
cold shoulder,to treat somebody with coldness and contempt.
in hot water,in trouble or state of shame.
leg up,give or receive assistance to achieve a goal.
"get the sack (boot, axe)",be dismissed from the job.
skeleton in the closet,"a secret of an embarrassing, guilty or shameful nature that you don't want to disclose."
part and parcel,something that is a basic or essential element of the whole.
spill the beans,disclose a secret or reveal something prematurely.
weather the storm,handle a difficult period of time successfully.
the ball is in your court,the initiative for taking action lies with somebody.
on the ball,"alert to new trends, ideas, and methods."
on/to hand,"present, nearby, close, or easily accessible."
time puts everything in its place,"time is persistent; as it passes eventually, everything goes back to its original state or place."
white paper,official report or guide.
"no pain, no gain",it is necessary to work hard or strive to reap rewards.
red tape,over excessive or time-consuming rules and bureaucracy that hinder progress.
take it up/down a notch,apply more effort to achieve a goal.
pour oil on troubled waters,"try to calm, soothe or placate a problematic situation."
barking dogs seldom bite,"to threaten someone, but not take action or follow through with threats."
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone."
break the ice,"to do or say something that makes people feel more comfortable, especially at the start of a meeting or party."
more than meets the eye,not as simple as it looks.
in the red,more money going out than coming in.
white elephant,an expensive item with no use or purpose.
in hand,under control.
straight shooter,someone who speaks the truth.
crack the whip,make someone work harder by asserting power or authority.
heads will roll,people will be fired or forced to resign.
rocket science,something very difficult to understand.
black mood,"to be angry, irritable or in a temper."
red-handed,doing or about to do something illegal or wrong.
eye candy,attractive visually but uninteresting in other ways.
rest assured,emphasizing that there is no need to worry.
set the bar,fix the standards acceptable for the task.
rest in peace (RIP),"respect, sympathy and well wishes for a deceased person."
cross the line,behave in a way that is not acceptable.
easy peasy,very straightforward.
bitter pill,something unpleasant to be endured.
to the nines,to perfection.
tide over,temporary help (often financial).
shadowban,a method of censoring or controlling content on the internet.
brown study,melancholy mood accompanied by deep thought.
good egg,a kind person.
bad egg,someone who fails to meet expectations.
lower the bar,to lower standards or expectations.
raise the bar,to be better than what went before.
stand your ground,not retreat.
outside the lines,not sticking to the rules.
halfway house,"mid-point in recovery, treatment, or progress."
not believe eyes,shock or surprise at something you see or hear.
spick and span,neat and clean.
come to think of/about it,something that has just occurred to us as we speak.
worm in the apple,the presence of something very bad in the best.
without further ado,no fuss or ceremony.
Dutch uncle,"criticize, scold or lecture someone."
king of the hill,be the undisputed champion.
backroom boy(s),people who work in anonymity.
end up,reach a particular place or condition.
buffer zone,neutral zone between two or more areas.
